zone_id,production,attraction,out_degree,in_degree,weighted_degree,net_flow
1300,7147.877918,7170.514276,507,508,1015,-22.636357999999746
1506,6384.141358,6410.367816,507,508,1015,-26.226458000000093
1301,1918.445979,1963.275752,507,508,1015,-44.82977299999993
1222,2795.034241,2803.509214,507,508,1015,-8.474973000000318
1221,1996.5287,2021.862639,507,508,1015,-25.333938999999873
1219,2593.028714,2633.478966,507,508,1015,-40.45025200000009
1299,2831.661217,2842.609601,508,508,1016,-10.94838400000026
1504,4278.675584,4314.499312,508,508,1016,-35.8237280000003
1503,1409.908339,1409.463388,507,508,1015,0.44495100000017374
1494,1535.564738,1559.486649,508,508,1016,-23.92191099999991
1382,871.453137,872.580838,508,508,1016,-1.1277010000000018
1505,2136.895098,2092.180423,508,508,1016,44.71467500000017
1217,5937.477081,5961.856036,508,508,1016,-24.378955000000133
1214,1297.397449,1330.650788,508,508,1016,-33.25333899999987
1220,1254.193465,1261.447608,507,508,1015,-7.254142999999885
1215,810.436069,808.790044,507,508,1015,1.6460250000000087
1212,328.28734000000003,330.615026,507,508,1015,-2.3276859999999715
1213,2243.739352,2243.42371,508,508,1016,0.3156420000000253
1210,1610.078551,1611.303202,508,508,1016,-1.2246509999999944
1081,3631.713272,3615.453067,508,508,1016,16.26020500000004
1218,1448.685482,1460.865042,508,508,1016,-12.17955999999981
1216,1947.464562,1933.315447,508,508,1016,14.149114999999938
1211,767.50376,789.091273,508,508,1016,-21.587512999999944
1208,2770.669552,2772.014071,508,508,1016,-1.3445190000002185
1207,1825.595914,1828.325705,508,508,1016,-2.7297909999999774
1206,2031.436135,2062.29036,508,508,1016,-30.854225000000042
1294,1970.970126,1989.774128,508,508,1016,-18.804002000000082
1295,3507.507259,3531.783801,508,508,1016,-24.276542000000063
1351,2232.016113,2273.829378,508,508,1016,-41.813264999999774
1296,1022.036972,1047.906122,508,508,1016,-25.869150000000104
1096,2595.350377,2644.952061,508,508,1016,-49.60168399999975
1209,2747.512045,2803.688607,508,508,1016,-56.176562000000104
1297,307.692906,318.536014,508,508,1016,-10.84310800000003
1148,2347.610505,2334.780529,495,496,991,12.829975999999988
1366,8866.723964,8701.517937999999,501,505,1006,165.20602600000166
1149,643.41931,657.6409189999999,490,494,984,-14.221608999999944
1467,30.774547,30.021839,508,508,1016,0.7527079999999984
1143,1457.739658,1465.9884729999999,496,505,1001,-8.248814999999922
1067,1646.891836,1588.02356,508,508,1016,58.86827599999992
1477,353.81721,345.291345,508,508,1016,8.52586500000001
1367,3073.520511,2774.424564,508,508,1016,299.09594700000025
1468,1268.0694330000001,1239.979934,508,508,1016,28.08949900000016
1469,5356.368261,4749.319817,508,508,1016,607.048444
1478,2874.1326090000002,2798.431272,508,508,1016,75.70133700000042
1035,194.833509,190.893972,508,508,1016,3.9395370000000014
1476,2760.780728,2587.716934,508,508,1016,173.06379400000014
1475,5349.637969,5184.862491,508,508,1016,164.77547800000048
1479,4655.611835,4568.392725,508,508,1016,87.21911
1031,2652.71361,2620.000719,508,508,1016,32.71289099999967
1030,3185.5957,3170.149563,508,508,1016,15.446136999999908
1063,1587.726838,1609.073773,508,508,1016,-21.34693500000003
1032,1454.343392,1441.826411,508,508,1016,12.516980999999987
1062,1782.07564,1779.135341,508,508,1016,2.9402990000000955
1029,852.417016,864.480316,508,508,1016,-12.063300000000027
1471,5543.02474,5277.413635,508,508,1016,265.61110499999995
1470,2845.958802,2452.0386829999998,508,508,1016,393.92011900000034
1499,2022.591526,1943.166827,508,508,1016,79.42469899999992
